geo_id,latitude,longitude
117,47.1573,-122.514
118,41.6416,-83.545
119,38.8469,-78.7056
120,37.9647,-87.5592
121,39.8545,-88.9823
122,42.4605,-70.9408
123,28.0304,-80.6075
124,38.5295,-89.1489
125,38.5295,-89.1489
126,35.6774,-90.5114
127,40.7198,-89.6466
128,40.7075,-74.1594
129,33.7407,-116.304
130,43.0493,-76.1761
131,34.9577,-81.0184
132,42.3994,-83.0129
133,38.3496,-81.6325
134,38.3496,-81.6325
135,38.3496,-81.6325
136,37.6898,-97.3411
137,29.8946,-90.0702
138,34.6795,-86.8056
139,32.7878,-96.7999
140,32.7878,-96.7999
141,32.7878,-96.7999
142,31.5922,-94.6743
143,44.6865,-91.1297
144,32.789,-80.0354
145,27.5322,-82.5655
146,32.8129,-83.6996
147,32.8129,-83.6996
148,42.5612,-90.8308
149,40.4861,-106.803
150,45.5515,-94.2263
151,42.7564,-84.5283
152,39.294,-76.62
153,41.4596,-90.8182
154,41.4596,-90.8182
155,31.7741,-81.6326
156,41.8884,-71.392
157,42.5302,-89.0482
158,31.1274,-97.9117
159,39.7581,-75.5421
160,38.8127,-97.6497
161,44.6297,-69.9295
162,35.9725,-83.9861
163,41.3005,-95.9566
164,33.9776,-118.255
165,33.9776,-118.255
166,41.3278,-73.2924
167,30.6504,-96.3226
168,42.3112,-71.0904
169,40.7224,-74.1907
170,30.1021,-81.7257
171,36.7307,-119.769
172,36.7307,-119.769
173,34.5943,-98.3771
174,40.1073,-88.2095
175,42.9235,-71.4164
176,38.7296,-94.8443
177,44.0053,-73.1716
178,39.6983,-104.837
179,39.6983,-104.837
180,33.829,-80.3742
181,32.6799,-96.6111
182,36.2103,-86.2827
183,42.0901,-72.5544
184,40.8168,-74.1194
185,36.7647,-119.844
186,40.7641,-124.147
187,46.9251,-98.0056
188,34.2603,-92.0806
189,45.5434,-122.511
190,39.3742,-74.4283
191,43.0587,-76.1501
192,41.1862,-73.1302
193,35.5951,-82.5515
194,38.8509,-76.917
195,59.2066,-160.502
196,42.3447,-71.072
197,42.3447,-71.072
198,42.3447,-71.072
199,42.3447,-71.072
200,42.3447,-71.072
201,42.3447,-71.072
202,36.8408,-119.799
203,36.8408,-119.799
204,42.3078,-71.0672
205,37.4995,-120.863
206,36.8401,-88.8028
207,43.1069,-75.2504
208,42.2086,-71.1203
209,42.2086,-71.1203
210,43.0041,-83.6842
211,44.6224,-123.075
212,43.4734,-89.7433
213,38.5844,-121.494
214,38.0701,-84.4621
215,29.028,-81.2952
216,33.0253,-97.1046
217,43.0968,-78.9496
218,42.9842,-71.4727
219,41.9368,-103.798
220,40.7997,-124.17
221,42.0212,-87.6804
222,41.0679,-85.1677
223,59.0397,-158.458
224,64.8636,-147.759
225,32.7462,-97.3295
226,37.1502,-86.0439
227,41.7018,-71.144
228,42.4652,-83.1836
229,46.8004,-92.117
230,45.4146,-122.787
231,42.1848,-83.605
232,40.8838,-73.9065
233,41.8275,-71.4178
234,28.4991,-81.2998
235,40.8563,-73.3753
236,42.4913,-79.3253
237,41.4464,-79.6964
238,34.2854,-85.1818
239,34.2854,-85.1818
240,41.2924,-95.947
241,40.2087,-74.7478
242,42.2689,-83.5807
243,39.5444,-119.743
244,39.1734,-75.5066
245,44.5356,-75.6625
246,41.9715,-87.8954
247,34.275,-85.1833
248,39.6634,-86.1205
249,39.9308,-105.074
250,40.9343,-124.114
251,42.3038,-71.4101
252,42.0894,-72.5592
253,25.9604,-97.5145
254,35.5589,-80.4062
255,26.2922,-81.801
256,39.0767,-108.549
257,39.0767,-108.549
258,43.736,-87.7286
259,33.705,-78.8682
260,39.7564,-75.5678
261,42.3058,-71.5295
262,33.7072,-78.9093
263,42.292,-71.1175
264,46.1612,-122.909
265,62.9049,-164.337
266,44.5028,-73.1965
267,42.0864,-76.827
268,25.8788,-80.126
269,20.8332,-156.289
270,40.9256,-72.6969
271,42.6444,-71.3105
272,42.4117,-82.9691
273,27.9816,-82.4349
274,42.3276,-71.0706
275,42.3276,-71.0706
276,40.0298,-123.584
277,39.8952,-75.1241
278,40.0316,-76.3108
279,42.0932,-72.5619
280,33.7238,-83.4223
281,33.5939,-78.983
282,47.7991,-103.307
283,32.4456,-86.6535
284,38.6352,-90.224
285,35.3767,-106.136
286,30.1624,-85.6532
287,34.6022,-86.9684
288,42.6982,-73.6975
289,43.4059,-84.0134
290,38.007,-84.4319
291,38.832,-104.758
292,46.2094,-119.152
293,42.1214,-79.2413
294,41.8732,-71.3893
295,32.8589,-79.9869
